#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 06 06 20  46  3.0  5.7  1.10 11.64  7.83 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 07 20  56  3.2  5.0  1.08 12.19  7.68 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 08 20  89  2.2  4.3  1.09 11.64  7.79 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 09 20  93  2.8  5.4  1.10 12.19  7.78 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 10 20  95  4.5  7.1  1.07 12.80  7.84 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 11 20 105  2.3  5.5  1.04 10.24  8.05 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 12 20  96  3.9  5.8  1.03 11.64  8.00 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 13 20 133  0.8  2.4  1.05 10.24  8.05 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 14 20 106  1.9  5.3  1.02 13.47  7.72 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 15 20 100  1.8  3.7  1.01 12.80  7.75 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 16 20 118  1.4  2.0  1.03 13.47  8.15 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 17 20 149  0.7  1.5  1.12 13.47  8.10 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 18 20 289  0.8  1.7  1.08 17.07  7.71 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 19 20   7  1.0  1.8  1.11 12.19  7.89 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 20 20 356  0.6  1.1  1.10 12.80  8.04 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 21 20 239  3.9  5.5  1.14 12.80  7.61 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 22 20 240  3.8  4.7  1.20 12.19  8.35 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 06 23 20 276  2.5  3.4  1.31 11.64  8.32 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 00 20 262  1.1  2.0  1.50 11.64  8.38 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 01 20 206  1.8  2.9  1.55 16.00  8.73 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 02 20 177  3.2  6.3  1.48 15.06  8.50 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 03 20 178  4.4  7.1  1.39 16.00  8.83 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 04 20 249  7.4  9.3  1.38 10.67  8.36 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 05 20 245  5.2  7.7  1.38 14.22  7.03 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 06 20 260  5.4  7.3  1.33 14.22  6.89 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 07 20 264  6.6  8.1  1.32 15.06  6.61 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 08 20 262  6.5  8.7  1.34 12.80  6.31 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 09 20 272  7.9  9.9  1.44  5.57  6.15 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 10 20 266  8.9 11.3  1.52 14.22  6.10 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 11 20 286  9.3 14.8  1.72 14.22  5.71 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 12 20 294  8.6 13.1  2.14  6.24  5.84 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 13 20 295 11.7 16.9  2.41  6.56  5.79 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 14 20 300 10.8 13.7  2.86  6.92  5.84 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 15 20 326 10.0 14.0  2.49  7.76  6.13 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 16 20 324 12.4 16.9  2.72  8.00  5.92 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 17 20 337 11.3 16.1  2.53  7.31  5.86 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 18 20 339 10.9 13.5  2.46  7.31  5.70 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 19 20 341  9.3 12.0  2.33  8.83  5.81 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 20 20 318  8.6 11.1  2.32  8.00  5.72 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 21 20 316  7.9  9.5  2.19  8.53  5.75 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 22 20 319  7.7  9.4  2.05  8.53  5.77 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 07 23 20 324  8.4 11.7  1.89  8.00  5.86 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 00 20 323 11.4 14.3  2.10  6.74  5.70 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 01 20 317 10.0 12.7  2.15  5.69  5.67 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 02 20 327 10.9 13.9  2.11 10.67  5.90 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 03 20 331 10.5 13.7  2.01 10.67  5.94 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 04 20 340 11.1 13.4  2.13 10.24  6.04 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 05 20 344 10.8 14.7  2.20  6.92  5.68 999 9999.0 999.0 999.0 999.0 99.0 99.00
